employee_key,employee_id,first_name,last_name,email,department,role_family,job_level,manager_employee_id,location,compensation_band_percentile,engagement_score,valid_from,valid_to,is_current,change_reason
1,EMP_0001,Manjunath,Kumbari,manjunath.kumbari@company.com,Finance,Finance Controller,L1,EMP_0035,Bengaluru Office,57.11,2,2025-04-14,2026-05-26,False,Hire
2,EMP_0001,Manjunath,Kumbari,manjunath.kumbari@company.com,Finance,Finance Controller,L2,EMP_0035,Bengaluru Office,69.7,3,2026-05-27,2027-07-19,False,Promotion
3,EMP_0001,Manjunath,Kumbari,manjunath.kumbari@company.com,Finance,Finance Controller,L3,EMP_0035,Bengaluru Office,79.06,4,2027-07-20,,True,Promotion
4,EMP_0002,Sandeep,Desai,sandeep.desai@company.com,Engineering,Tech Lead,L1,EMP_0023,Hubballi Office,18.14,2,2023-10-06,,True,Hire
5,EMP_0003,Karthik,Patil,karthik.patil@company.com,HR,Talent Acquisition Specialist,L1,EMP_0024,Mumbai Office,19.42,4,2023-09-03,2024-07-04,False,Hire
6,EMP_0003,Karthik,Patil,karthik.patil@company.com,HR,Talent Acquisition Specialist,L2,EMP_0024,Mumbai Office,34.29,3,2024-07-05,,True,Promotion
7,EMP_0004,Deepika,Desai,deepika.desai@company.com,Marketing,Marketing Manager,L1,EMP_0028,Remote - India,19.16,4,2022-02-26,2023-05-04,False,Hire
8,EMP_0004,Deepika,Desai,deepika.desai@company.com,Marketing,Marketing Manager,L2,EMP_0028,Remote - India,28.03,3,2023-05-05,,True,Promotion
9,EMP_0005,Manjunath,Rao,manjunath.rao@company.com,Engineering,Senior Developer,L1,EMP_0033,Hubballi Office,30.22,5,2025-01-20,,True,Hire
10,EMP_0006,Priyanka,Kumbari,priyanka.kumbari@company.com,Engineering,Senior Developer,L1,EMP_0044,Mumbai Office,18.98,5,2024-04-27,2025-07-11,False,Hire
11,EMP_0006,Priyanka,Kumbari,priyanka.kumbari@company.com,Engineering,Senior Developer,L2,EMP_0044,Mumbai Office,33.85,4,2025-07-12,2026-08-10,False,Promotion
12,EMP_0006,Priyanka,Kumbari,priyanka.kumbari@company.com,Engineering,Senior Developer,L3,EMP_0044,Mumbai Office,43.01,3,2026-08-11,,True,Promotion
13,EMP_0007,Deepika,Desai,deepika.desai@company.com,HR,HR Business Partner,L1,EMP_0042,Bengaluru Office,19.88,4,2024-05-04,2025-09-30,False,Hire
14,EMP_0007,Deepika,Desai,deepika.desai@company.com,HR,HR Business Partner,L2,EMP_0042,Bengaluru Office,32.62,5,2025-10-01,2027-01-09,False,Promotion
15,EMP_0007,Deepika,Desai,deepika.desai@company.com,HR,HR Business Partner,L3,EMP_0042,Bengaluru Office,44.69,5,2027-01-10,,True,Promotion
16,EMP_0008,Vijay,Nayaka,vijay.nayaka@company.com,Customer Success,CS Specialist,L1,EMP_0012,Bengaluru Office,66.62,2,2024-11-23,2025-12-16,False,Hire
17,EMP_0008,Vijay,Nayaka,vijay.nayaka@company.com,Customer Success,CS Specialist,L2,EMP_0012,Bengaluru Office,76.09,3,2025-12-17,2027-01-23,False,Promotion
18,EMP_0008,Vijay,Nayaka,vijay.nayaka@company.com,Customer Success,CS Specialist,L3,EMP_0012,Bengaluru Office,87.99,2,2027-01-24,,True,Promotion
19,EMP_0009,Kavitha,Kulkarni,kavitha.kulkarni@company.com,Finance,Finance Controller,L1,EMP_0043,Remote - India,66.06,5,2024-06-17,2025-06-10,False,Hire
20,EMP_0009,Kavitha,Kulkarni,kavitha.kulkarni@company.com,Finance,Finance Controller,L2,EMP_0043,Remote - India,80.55,4,2025-06-11,,True,Promotion
21,EMP_0010,Roopa,Bhat,roopa.bhat@company.com,Finance,Finance Controller,L1,EMP_0016,Hubballi Office,33.69,5,2022-11-24,,True,Hire
