customer_id,first_name,last_name,email,signup_date,gender,age,preferred_language,acquisition_channel,lifetime_value
CUST_0001,Divya,Rao,cust_0001@customer-c360.com,2026-01-31,Female,23,English,Direct Traffic,21256.21
CUST_0002,Sneha,Singh,cust_0002@customer-c360.com,2026-01-14,Other,44,English,Organic Search,10259.77
CUST_0003,Divya,Nair,cust_0003@customer-c360.com,2026-03-31,Other,62,English,Direct Traffic,11577.85
CUST_0004,Amit,Gupta,cust_0004@customer-c360.com,2026-04-10,Male,49,English,Facebook Ads,887.3
CUST_0005,Sneha,Singh,cust_0005@customer-c360.com,2026-03-08,Male,64,English,Facebook Ads,0.0
CUST_0006,Arjun,Singh,cust_0006@customer-c360.com,2026-01-11,Female,44,English,Facebook Ads,10037.54
CUST_0007,Arjun,Patel,cust_0007@customer-c360.com,2026-02-28,Other,56,English,Organic Search,13310.6
CUST_0008,Arjun,Gupta,cust_0008@customer-c360.com,2026-01-13,Other,51,English,Direct Traffic,12324.06
CUST_0009,Karan,Kumbari,cust_0009@customer-c360.com,2026-01-17,Female,59,English,Facebook Ads,10393.87
CUST_0010,Rohan,Singh,cust_0010@customer-c360.com,2026-01-20,Female,52,English,Facebook Ads,19358.92
CUST_0011,Rohan,Patel,cust_0011@customer-c360.com,2026-01-02,Male,40,English,Direct Traffic,14926.6
CUST_0012,Divya,Gupta,cust_0012@customer-c360.com,2026-01-02,Other,52,English,Google Ads,0.0
CUST_0013,Karan,Gupta,cust_0013@customer-c360.com,2026-02-03,Male,27,English,Organic Search,14986.18
CUST_0014,Shweta,Rao,cust_0014@customer-c360.com,2026-02-16,Other,25,English,Facebook Ads,2489.48
CUST_0015,Rohan,Das,cust_0015@customer-c360.com,2026-03-28,Female,36,English,Facebook Ads,17410.24
CUST_0016,Divya,Joshi,cust_0016@customer-c360.com,2026-02-25,Male,23,English,Facebook Ads,2662.85
CUST_0017,Vikram,Gupta,cust_0017@customer-c360.com,2026-04-02,Female,59,English,Facebook Ads,0.0
CUST_0018,Karan,Nair,cust_0018@customer-c360.com,2026-02-06,Other,27,English,Direct Traffic,14071.49
CUST_0019,Pooja,Nair,cust_0019@customer-c360.com,2026-03-11,Female,45,English,Organic Search,7682.4
